tweet_id,tweet_text,true_text_info,true_text_human,predicted_reasoning,predicted_info,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet mentions federal teams collaborating with Texas for post-Harvey relief, indicating active disaster response efforts following Hurricane Harvey. This constitutes informative content about the disaster's aftermath, specifically focusing on organized aid delivery.",informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,1295,86,1.7077608108520508,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet provides a weather update regarding Hurricane Maria, specifying its current status and impacts on the DelMarVa peninsula, including high surf and wind. This constitutes a relevant disaster-related forecast and warning, making it informative. The primary focus is on meteorological conditions and potential hazards, which falls under general disaster-related information rather than specific human or structural impacts.",informative,other_relevant_information,informative,other_relevant_information,129,1297,109,1.873321294784546,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet reports a significant spill of gasoline caused by floodwaters from Hurricane Harvey, indicating environmental and infrastructure impact due to the disaster. It provides a specific detail about the scale of the spill, which qualifies as disaster-related information.",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,1296,86,1.704258918762207,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet references Hurricane Harvey and discusses rebuilding efforts in Texas through a religious practice of faith, indicating it relates to the disaster's aftermath. While it expresses solidarity and spiritual response, it does not report on casualties, evacuations, damage, or relief actions. Instead, it conveys a thematic reflection on recovery, fitting under general commentary about the disaster.",informative,other_relevant_information,informative,other_relevant_information,132,1302,109,1.8790040016174316,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet references Hurricane Irma and makes a politically charged statement involving offensive language toward Floridians. Although it mentions the hurricane, the content is primarily a provocative opinion rather than a report of casualties, damage, evacuations, or relief efforts. It does not convey actionable disaster information but expresses a biased sentiment.",informative,other_relevant_information,informative,other_relevant_information,139,1306,100,1.767566442489624,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet reports that Hurricane caused significant damage to the Monkey Island research center in Puerto Rico, indicating structural destruction due to the storm. This constitutes disaster-related information focused on physical infrastructure impact.",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,1295,78,0.6941752433776855,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet shows a before-and-after comparison of St. Thomas, USVI, following Hurricane Irma, which directly illustrates the storm's impact. The visual evidence highlights widespread destruction, fitting the category of infrastructure and utility damage.",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,88,1293,85,0.8792016506195068,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports a 7.3 magnitude earthquake striking Kermanshah Province in Iran, which constitutes a clear disaster-related update. It provides factual information about the event's occurrence and location, making it informative. The primary focus is on the seismic event itself, including its magnitude and affected region, which falls under general disaster news rather than specific casualties, damage, or humanitarian actions.",informative,other_relevant_information,informative,other_relevant_information,100,1294,117,1.1453514099121094,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet reports that fuel at gas stations across Georgia has been contaminated with rainwater from Hurricane Irma, indicating a post-disaster issue affecting utilities and infrastructure. This constitutes relevant disaster-related information beyond general sentiment.",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,1306,82,0.8181130886077881,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet reports that 22,000 people have been displaced in Sri Lanka due to severe flooding, which constitutes a clear disaster-related update. The focus is on the large-scale displacement of people, making 'affected_individuals' the most appropriate category.",informative,affected_individuals,informative,affected_individuals,135,1303,91,0.761885404586792,0.0
