tweet_id,tweet_text,true_text_info,true_text_human,agent1_predicted_info,agent2_predicted_category,final_predicted_info,final_predicted_category,tweet_text_char_count,token_in_use,token_out_use,agent1_latency_seconds,agent2_latency_seconds,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,816,54,1.490943193435669,0.365769624710083,1.856712818145752,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,informative,other_relevant_information,informative,other_relevant_information,129,820,48,1.4633910655975342,0.3322470188140869,1.795638084411621,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,818,50,1.4775888919830322,0.3742725849151611,1.8518614768981931,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,not_informative,,not_informative,not_humanitarian,132,361,27,1.543823480606079,0.0,1.543823480606079,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,not_informative,,not_informative,not_humanitarian,139,365,27,1.5448036193847656,0.0,1.5448036193847656,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,816,50,0.3355088233947754,0.3860063552856445,0.7215151786804199,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,88,812,50,0.3315074443817138,0.384650707244873,0.7161581516265869,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,not_informative,,not_informative,not_humanitarian,100,353,27,0.3690476417541504,0.0,0.3690476417541504,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,838,50,0.408698558807373,0.4105010032653808,0.8191995620727539,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,informative,affected_individuals,informative,affected_individuals,135,832,47,0.3058216571807861,0.411684513092041,0.7175061702728271,0.0
909484808404967425,Irma Survivor Tells Trump: “Obama Was Playing Golf During The Last Hurricane” https://t.co/54RdxKiad3,informative,other_relevant_information,not_informative,,not_informative,not_humanitarian,101,346,27,0.4412894248962402,0.0,0.4412894248962402,0.0
928673108432736256,New Puerto Rico Flag with Raindrops Postcard https://t.co/Al4kzyQ084 More Designs https://t.co/AXbRlLG0h4 #zazzle https://t.co/8yjWFZyZbr,not_informative,not_humanitarian,not_informative,,not_informative,not_humanitarian,137,372,27,0.4134931564331054,0.0,0.4134931564331054,0.0
910524535757262851,"Photos show destruction, damage from Hurricane Maria https://t.co/VeK9i0TBFt https://t.co/fkBaDhjNUQ",informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,100,810,50,0.4071419239044189,0.3563809394836426,0.7635228633880615,0.0
914848052766236672,Remnants of hurricane Maria meant blustery weather round the Loch but very pleased to see family of swans back https://t.co/lVvW5tXK7r,informative,other_relevant_information,informative,other_relevant_information,informative,other_relevant_information,134,818,48,0.3113391399383545,0.3084478378295898,0.6197869777679443,0.0
916037408528801792,@CarmenYulinCruz Military Mission to help Puerto Rico Contact me for details You are not alone https://t.co/KEnSy4mP64,informative,rescue_volunteering_or_donation_effort,not_informative,,not_informative,not_humanitarian,118,351,27,0.372509241104126,0.0,0.372509241104126,0.0
901805456213102593,Pictures from the Heights neighborhood in #Houston. Water is rising. #Harvey https://t.co/xsGzUA92dF,informative,infrastructure_and_utility_damage,informative,affected_individuals,informative,affected_individuals,100,802,47,0.3553774356842041,0.3037335872650146,0.6591110229492188,0.0
910613883613847553,Relatives say children missing after a school collapsed in Mexico's deadly earthquake have sent WhatsApp messages. https://t.co/mz1jHrEcCB,informative,missing_or_found_people,informative,missing_or_found_people,informative,missing_or_found_people,138,806,48,0.3463890552520752,0.3637793064117431,0.7101683616638184,0.0
909439057150832640,Islanders tell of terror with prisoners on loose following Hurricane Irma https://t.co/fOUscBLM6i https://t.co/Oc7bc0Cg05,informative,other_relevant_information,informative,affected_individuals,informative,affected_individuals,121,816,47,0.3277719020843506,0.3351738452911377,0.6629457473754883,0.0
