tweet_id,tweet_text,true_text_info,true_text_human,predicted_reasoning,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet reports that federal agencies are teaming with Texas to provide post-Hurricane Harvey relief, but it does not mention any deaths, injuries, missing persons, displaced individuals, infrastructure damage, vehicle damage, or specific rescue/donation operations. It is a general informational post about coordinated recovery efforts.",other_relevant_information,informative,other_relevant_information,98,1165,79,9.176079273223877,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet reports on Hurricane Maria's status and mentions 'high surf and wind' affecting the DelMarVa peninsula, but does not describe any casualties, injuries, displaced persons, structural damage, vehicle damage, or organized relief efforts. It is a factual weather update about the hurricane's trajectory and intensity, fitting the 'other_relevant_information' category.",other_relevant_information,informative,other_relevant_information,129,1166,91,9.586026668548584,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet reports a half-million gallon gasoline spill caused by floodwaters from Hurricane Harvey. This is damage to industrial fuel infrastructure (storage tanks/pipelines) resulting from the disaster, making it infrastructure and utility damage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,1166,391,19.9282865524292,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet mentions a news article about Texans rebuilding after Hurricane Harvey as a practice of faith, but it does not report any specific disaster impact details such as casualties, infrastructure damage, or rescue efforts. It is a general news link and expression of faith without concrete actionable information.",not_informative,not_informative,not_humanitarian,132,1174,72,8.258370161056519,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"This tweet is a political statement quoting Hillary Clinton expressing a controversial opinion about Hurricane Irma and Florida residents; it does not provide any factual disaster-related information or describe impacts, casualties, or response efforts.",not_informative,not_informative,not_humanitarian,139,1179,59,7.560310125350952,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet mentions 'Hurricane mauled Puerto Rico's renowned Monkey Island research center', indicating structural damage to a research facility caused by the hurricane. No deaths, injuries, or other specific humanitarian impacts are referenced.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,1167,62,6.530822038650513,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet shows before and after images of St. Thomas following Hurricane Irma, providing visual comparison of the damage. It does not mention any deaths, injuries, missing persons, displaced individuals, specific infrastructure or vehicle damage, rescue efforts, or other specific impact details — it is a general visual update about the hurricane's aftermath, fitting the 'other relevant information' category.",other_relevant_information,informative,other_relevant_information,88,1163,94,9.21522045135498,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports a 7.3 magnitude earthquake striking Iran's Kermanshah province, but only mentions the earthquake magnitude and location — no details about deaths, injuries, damage, evacuation, or any specific humanitarian impact. This is a factual news report about the earthquake event itself, fitting 'other_relevant_information' as it does not match any of the more specific categories.",other_relevant_information,informative,other_relevant_information,100,1167,143,7.580016613006592,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet reports that fuel at gas stations across Georgia has been tainted with Irma rainwater, which is a contamination of a key utility/fuel infrastructure caused by the disaster. There is no mention of deaths, injuries, missing persons, displaced individuals, vehicle damage, rescue efforts, or other categories, making infrastructure/utility damage the most appropriate classification.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,1178,93,8.120183229446411,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet explicitly states '22K people displaced' due to flooding in Sri Lanka, with no mention of deaths, injuries, missing persons, or infrastructure/vehicle damage. The mention of displacement clearly fits the 'affected_individuals' category.",affected_individuals,informative,affected_individuals,135,1174,67,4.7097859382629395,0.0
