model,temperature,text_informativeness_f1,text_category_f1,avg_latency_seconds,total_tokens_used
deepseek-v4-flash,0.0,0.7822222222222223,0.5557517011208156,1.623654185538273,847698
deepseek-v4-flash,0.1,0.7869822485207101,0.5670167688360885,1.6044622730923839,847618
deepseek-v4-flash,0.2,0.7876106194690266,0.5764212161380189,1.5875289041207605,847556
deepseek-v4-flash,0.3,0.7792592592592592,0.5470472949790983,1.654888700679004,847523
typhoon-v2.5,0.0,0.7355242566510172,0.5291791396012017,0.3922270944868901,750035
typhoon-v2.5,0.1,0.7433903576982893,0.5291804812222937,0.378278075936306,750039
typhoon-v2.5,0.2,0.73125,0.5246026494923574,0.3553710743725537,750030
typhoon-v2.5,0.3,0.7414330218068536,0.5342614233400689,0.3579783463383101,750024
gemma-4,0.0,0.740625,0.529276131008411,2.4815408741810407,726388
gemma-4,0.1,0.7386541471048513,0.5279162452159153,3.067919838475991,726495
gemma-4,0.2,0.7417840375586855,0.5310429773803984,2.6181371093271264,726465
gemma-4,0.3,0.740625,0.532085428174118,2.608413823572288,726485
