tweet_id,tweet_text,true_text_info,true_text_human,predicted_info_reasoning,predicted_info,predicted_cat_reasoning,predicted_category,mapped_predicted_info,mapped_predicted_category,tweet_text_char_count,token_in_use,token_out_use,latency_seconds,temperature
907308344112803840,Feds team with Texas to provide post-Harvey relief https://t.co/12QAeAydit https://t.co/QmUSCQXlPZ,informative,rescue_volunteering_or_donation_effort,"The tweet mentions 'post-Harvey relief', directly referencing Hurricane Harvey, a specific disaster event, and states that federal authorities are collaborating with Texas on relief efforts. This includes factual information about ongoing emergency response operations involving named entities (feds, Texas) and a named disaster (Harvey).",informative,"The tweet describes federal and state collaboration to deliver post-disaster relief following Hurricane Harvey, focusing on organized aid efforts rather than individual casualties, infrastructure damage, or vehicle destruction. This aligns with collective humanitarian actions such as aid distribution and support coordination.",rescue_volunteering_or_donation_effort,informative,rescue_volunteering_or_donation_effort,98,1628,175,2.8709890842437744,0.0
913173742360125440,5:45 PM Wednesday: Maria back to low-end Hurricane status. DelMarVa peninsula getting high surf and wind. https://t.co/Zt85CjkpQK,informative,other_relevant_information,"The tweet specifies a named weather event (Hurricane Maria), provides a time and date (5:45 PM Wednesday), states its current status (low-end hurricane), and identifies specific geographic areas (DelMarVa peninsula) experiencing high surf and wind. These are measurable, factual disaster-related impacts.",informative,"The tweet reports on the current status of a hurricane affecting the DelMarVa peninsula, including high surf and wind conditions, which are meteorological updates related to the ongoing storm. No direct mention of injuries, deaths, missing persons, displacement, infrastructure damage, vehicle damage, or organized humanitarian efforts is present.",other_relevant_information,informative,other_relevant_information,129,1632,181,2.950169086456299,0.0
907560012926603264,Half-million gallons of gasoline spilled due to Harvey's floodwaters https://t.co/cqD3Gg48yp https://t.co/7WoeOmAUdO,informative,infrastructure_and_utility_damage,"The tweet specifies a measurable disaster impact: 'half-million gallons of gasoline spilled' due to Hurricane Harvey's floodwaters, which includes a quantifiable volume and a named disaster event (Harvey). This meets the criteria for factual, specific disaster information.",informative,"The tweet reports a large-scale spill of gasoline caused by floodwaters from Hurricane Harvey, which constitutes significant environmental and infrastructural hazard. While it does not mention human casualties, displacement, or organized aid efforts, the focus is on damage to utilities and infrastructure due to flooding.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,116,1630,166,2.8466572761535645,0.0
906549721648562179,The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith by KEVINÂ SACK https://t.co/SfemyUy1z9 https://t.co/AmGYuFnIWB,not_informative,not_humanitarian,"The tweet references Hurricane Harvey, a specific disaster event, and mentions rebuilding efforts in Texas, indicating factual context about post-disaster recovery. The inclusion of a news article title and links further supports that it conveys specific disaster-related information.",informative,"The tweet references a news article about rebuilding efforts in Texas after Hurricane Harvey, focusing on community resilience and faith-based recovery. It does not report deaths, injuries, missing persons, displacement, infrastructure damage, vehicle damage, or organized aid efforts, but rather highlights post-disaster social and spiritual responses.",other_relevant_information,informative,other_relevant_information,132,1642,166,2.54768443107605,0.0
909746526863417344,Hillary quote “IT WOULD PROBABLY BE GOOD FOR THE COUNTRY IF IRMA WERE TO JUST WIPE EVERY FLORIDA HILLBILLY OFF THE… https://t.co/SfWIwh8dVy,informative,other_relevant_information,"The tweet references Hurricane Irma and includes a fabricated quote attributed to Hillary Clinton, implying a political statement about wiping out Florida residents. While it mentions a named hurricane (Irma), the content is clearly sarcastic, politically charged, and lacks any factual disaster details such as casualties, damage, or emergency operations.",not_informative,,,not_informative,not_humanitarian,139,669,94,2.0340490341186523,0.0
916262078893248513,Hurricane mauled Puerto Rico's renowned Monkey Island research center https://t.co/YGkb8dXuaG https://t.co/jbEp8sHIFK,informative,infrastructure_and_utility_damage,"The tweet mentions Hurricane impacting Puerto Rico and specifically names the Monkey Island research center, indicating a named location with documented physical damage from the storm. This constitutes factual disaster impact information.",informative,"The tweet reports significant damage to a research center on Monkey Island due to Hurricane, indicating destruction of critical infrastructure. The focus is on the structural and functional loss of a scientific facility, which falls under infrastructure damage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,117,1628,139,1.4276728630065918,0.0
909458931696717824,"A view of St. Thomas, #USVI, before &amp; after Hurricane #Irma. https://t.co/XKivTJjA6v",informative,infrastructure_and_utility_damage,"The tweet references Hurricane Irma and shows a before-and-after view of St. Thomas, USVI, which implies observable physical damage and disaster impact. The inclusion of a specific hurricane name and location indicates factual disaster context.",informative,"The tweet shows a before-and-after visual comparison of St. Thomas, USVI, highlighting the extensive destruction caused by Hurricane Irma. The primary focus is on visible structural and environmental damage across buildings, roads, and landscapes, which aligns with infrastructure and utility damage.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,88,1624,158,1.3220124244689941,0.0
930026420746645505,RT @Fintribune: 7.3 Magnitude Earthquake Strikes Iran's #Kermanshah Province https://t.co/ZslBfdDglG,informative,other_relevant_information,"The tweet reports a 7.3 magnitude earthquake striking Kermanshah Province in Iran, which includes measurable data (magnitude) and a named location with a specific disaster event. This meets the criteria for informative content.",informative,"The tweet reports an earthquake of 7.3 magnitude striking Kermanshah Province in Iran, which is factual information about the disaster event itself. No specific mention of casualties, missing persons, displacement, infrastructure damage, vehicle damage, or organized relief efforts is present. This falls under general disaster reporting without humanitarian impact details.",other_relevant_information,informative,other_relevant_information,100,1626,171,1.5366430282592773,0.0
909394515441668097,RT @wsbtv: Fuel at gas stations across Georgia tainted with Irma rainwater | FULL STORY - https://t.co/PZuwnN3B5J https://t.co/ERwTncM6Kv,informative,other_relevant_information,"The tweet references Hurricane Irma and specifies that fuel at gas stations across Georgia was tainted with rainwater from the storm, indicating a concrete disaster impact on infrastructure and public services. This includes measurable environmental effects tied directly to a named disaster.",informative,"The tweet reports contamination of fuel at gas stations due to rainwater from Hurricane Irma, which disrupts essential utilities and services critical for disaster response and mobility. This primarily affects infrastructure and utility systems rather than individuals or vehicles directly.",infrastructure_and_utility_damage,informative,infrastructure_and_utility_damage,137,1650,153,1.415733814239502,0.0
877964234826555392,22K people displaced in Sri Lanka due to being hit by worst flood in decades: https://t.co/y1OnYlTWo8 #FoodTank https://t.co/vfuV7ZNVES,informative,affected_individuals,"The tweet includes specific factual information: '22K people displaced' and 'worst flood in decades' in Sri Lanka, which clearly indicates measurable human impact and severity of the disaster. These details meet the criteria for informative content.",informative,"The tweet reports that 22,000 people have been displaced due to severe flooding, which indicates large-scale population movement from their homes. This aligns with the 'affected_individuals' category, as there is no mention of deaths, injuries, or missing persons.",affected_individuals,informative,affected_individuals,135,1644,162,1.3335647583007812,0.0
